age,job,marital,education_qual,call_type,day,mon,dur,num_calls,prev_outcome,y
58,management,married,tertiary,unknown,5,may,261,1,unknown,no
44,technician,single,secondary,unknown,5,may,151,1,unknown,no
33,entrepreneur,married,secondary,unknown,5,may,76,1,unknown,no
47,blue-collar,married,unknown,unknown,5,may,92,1,unknown,no
33,unknown,single,unknown,unknown,5,may,198,1,unknown,no
35,management,married,tertiary,unknown,5,may,139,1,unknown,no
28,management,single,tertiary,unknown,5,may,217,1,unknown,no
42,entrepreneur,divorced,tertiary,unknown,5,may,380,1,unknown,no
58,retired,married,primary,unknown,5,may,50,1,unknown,no
43,technician,single,secondary,unknown,5,may,55,1,unknown,no
41,admin.,divorced,secondary,unknown,5,may,222,1,unknown,no
29,admin.,single,secondary,unknown,5,may,137,1,unknown,no
53,technician,married,secondary,unknown,5,may,517,1,unknown,no
58,technician,married,unknown,unknown,5,may,71,1,unknown,no
57,services,married,secondary,unknown,5,may,174,1,unknown,no
51,retired,married,primary,unknown,5,may,353,1,unknown,no
45,admin.,single,unknown,unknown,5,may,98,1,unknown,no
57,blue-collar,married,primary,unknown,5,may,38,1,unknown,no
60,retired,married,primary,unknown,5,may,219,1,unknown,no
33,services,married,secondary,unknown,5,may,54,1,unknown,no
28,blue-collar,married,secondary,unknown,5,may,262,1,unknown,no
56,management,married,tertiary,unknown,5,may,164,1,unknown,no
32,blue-collar,single,primary,unknown,5,may,160,1,unknown,no
25,services,married,secondary,unknown,5,may,342,1,unknown,no
40,retired,married,primary,unknown,5,may,181,1,unknown,no
44,admin.,married,secondary,unknown,5,may,172,1,unknown,no
39,management,single,tertiary,unknown,5,may,296,1,unknown,no
52,entrepreneur,married,secondary,unknown,5,may,127,1,unknown,no
46,management,single,secondary,unknown,5,may,255,2,unknown,no
36,technician,single,secondary,unknown,5,may,348,1,unknown,no
57,technician,married,secondary,unknown,5,may,225,1,unknown,no
49,management,married,tertiary,unknown,5,may,230,1,unknown,no
60,admin.,married,secondary,unknown,5,may,208,1,unknown,no
59,blue-collar,married,secondary,unknown,5,may,226,1,unknown,no
51,management,married,tertiary,unknown,5,may,336,1,unknown,no
57,technician,divorced,secondary,unknown,5,may,242,1,unknown,no
25,blue-collar,married,secondary,unknown,5,may,365,1,unknown,no
53,technician,married,secondary,unknown,5,may,1666,1,unknown,no
36,admin.,divorced,secondary,unknown,5,may,577,1,unknown,no
37,admin.,single,secondary,unknown,5,may,137,1,unknown,no
44,services,divorced,secondary,unknown,5,may,160,1,unknown,no
50,management,married,secondary,unknown,5,may,180,2,unknown,no
60,blue-collar,married,unknown,unknown,5,may,22,1,unknown,no
54,retired,married,secondary,unknown,5,may,1492,1,unknown,no
58,retired,married,unknown,unknown,5,may,616,1,unknown,no
36,admin.,single,primary,unknown,5,may,242,1,unknown,no
58,self-employed,married,tertiary,unknown,5,may,355,1,unknown,no
44,technician,married,secondary,unknown,5,may,225,2,unknown,no
55,technician,divorced,secondary,unknown,5,may,160,1,unknown,no
29,management,single,tertiary,unknown,5,may,363,1,unknown,no
54,blue-collar,married,secondary,unknown,5,may,266,1,unknown,no
48,management,divorced,tertiary,unknown,5,may,253,1,unknown,no
32,management,married,tertiary,unknown,5,may,179,1,unknown,no
42,admin.,single,secondary,unknown,5,may,787,1,unknown,no
24,technician,single,secondary,unknown,5,may,145,1,unknown,no
38,entrepreneur,single,tertiary,unknown,5,may,174,1,unknown,no
38,management,single,tertiary,unknown,5,may,104,1,unknown,no
47,blue-collar,married,unknown,unknown,5,may,13,1,unknown,no
40,blue-collar,single,unknown,unknown,5,may,185,1,unknown,no
46,services,married,primary,unknown,5,may,1778,1,unknown,no
32,admin.,married,tertiary,unknown,5,may,138,1,unknown,no
53,technician,divorced,secondary,unknown,5,may,812,1,unknown,no
57,blue-collar,married,primary,unknown,5,may,164,1,unknown,no
33,services,married,secondary,unknown,5,may,391,1,unknown,no
49,blue-collar,married,unknown,unknown,5,may,357,1,unknown,no
51,management,married,tertiary,unknown,5,may,91,1,unknown,no
60,retired,married,tertiary,unknown,5,may,528,1,unknown,no
59,management,divorced,tertiary,unknown,5,may,273,1,unknown,no
55,technician,married,secondary,unknown,5,may,158,2,unknown,no
35,blue-collar,single,secondary,unknown,5,may,177,1,unknown,no
57,blue-collar,married,secondary,unknown,5,may,258,1,unknown,no
31,services,married,secondary,unknown,5,may,172,1,unknown,no
54,management,married,secondary,unknown,5,may,154,1,unknown,no
55,blue-collar,married,primary,unknown,5,may,291,1,unknown,no
43,technician,married,secondary,unknown,5,may,181,1,unknown,no
53,technician,married,secondary,unknown,5,may,176,1,unknown,no
44,blue-collar,married,secondary,unknown,5,may,211,1,unknown,no
55,services,divorced,secondary,unknown,5,may,349,1,unknown,no
49,services,divorced,secondary,unknown,5,may,272,1,unknown,no
55,services,divorced,secondary,unknown,5,may,208,1,unknown,no
45,admin.,single,secondary,unknown,5,may,193,1,unknown,no
47,services,divorced,secondary,unknown,5,may,212,1,unknown,no
42,technician,single,secondary,unknown,5,may,20,1,unknown,no
59,admin.,married,secondary,unknown,5,may,1042,1,unknown,yes
46,self-employed,married,tertiary,unknown,5,may,246,1,unknown,no
51,blue-collar,married,primary,unknown,5,may,529,2,unknown,no
56,admin.,married,secondary,unknown,5,may,1467,1,unknown,yes
41,technician,married,secondary,unknown,5,may,1389,1,unknown,yes
46,management,divorced,secondary,unknown,5,may,188,2,unknown,no
57,retired,married,secondary,unknown,5,may,180,2,unknown,no
42,management,single,secondary,unknown,5,may,48,1,unknown,no
30,technician,married,secondary,unknown,5,may,213,2,unknown,no
60,admin.,married,secondary,unknown,5,may,583,1,unknown,no
60,blue-collar,married,unknown,unknown,5,may,221,1,unknown,no
57,entrepreneur,divorced,secondary,unknown,5,may,173,1,unknown,no
36,management,married,tertiary,unknown,5,may,426,1,unknown,no
55,blue-collar,married,secondary,unknown,5,may,287,1,unknown,no
60,retired,married,tertiary,unknown,5,may,101,1,unknown,no
39,technician,married,secondary,unknown,5,may,203,1,unknown,no
46,management,married,tertiary,unknown,5,may,197,1,unknown,no
44,blue-collar,married,secondary,unknown,5,may,257,1,unknown,no
53,blue-collar,married,primary,unknown,5,may,124,1,unknown,no
52,blue-collar,married,primary,unknown,5,may,229,1,unknown,no
59,blue-collar,married,primary,unknown,5,may,55,3,unknown,no
27,technician,single,tertiary,unknown,5,may,400,1,unknown,no
44,blue-collar,married,secondary,unknown,5,may,197,1,unknown,no
47,technician,married,tertiary,unknown,5,may,190,1,unknown,no
34,admin.,married,secondary,unknown,5,may,21,1,unknown,no
59,retired,single,secondary,unknown,5,may,514,1,unknown,no
45,management,married,tertiary,unknown,5,may,849,2,unknown,no
29,services,divorced,secondary,unknown,5,may,194,1,unknown,no
46,technician,divorced,secondary,unknown,5,may,144,1,unknown,no
56,self-employed,married,primary,unknown,5,may,212,2,unknown,no
36,blue-collar,married,primary,unknown,5,may,286,1,unknown,no
59,retired,divorced,primary,unknown,5,may,107,1,unknown,no
44,blue-collar,married,secondary,unknown,5,may,247,2,unknown,no
41,admin.,married,secondary,unknown,5,may,518,1,unknown,no
33,management,single,tertiary,unknown,5,may,364,1,unknown,no
59,management,divorced,tertiary,unknown,5,may,178,1,unknown,no
57,technician,married,primary,unknown,5,may,98,1,unknown,no
56,technician,divorced,unknown,unknown,5,may,439,1,unknown,no
51,blue-collar,married,secondary,unknown,5,may,79,1,unknown,no
34,admin.,married,unknown,unknown,5,may,120,3,unknown,no
43,services,married,secondary,unknown,5,may,127,2,unknown,no
52,technician,married,tertiary,unknown,5,may,175,1,unknown,no
33,technician,single,secondary,unknown,5,may,262,2,unknown,no
29,admin.,single,secondary,unknown,5,may,61,1,unknown,no
34,services,married,secondary,unknown,5,may,78,1,unknown,no
31,blue-collar,married,secondary,unknown,5,may,143,1,unknown,no
55,services,married,secondary,unknown,5,may,579,1,unknown,yes
55,management,married,unknown,unknown,5,may,677,1,unknown,no
32,admin.,single,secondary,unknown,5,may,345,1,unknown,no
38,technician,single,secondary,unknown,5,may,185,1,unknown,no
55,admin.,single,secondary,unknown,5,may,100,2,unknown,no
28,unemployed,single,tertiary,unknown,5,may,125,2,unknown,no
23,blue-collar,married,secondary,unknown,5,may,193,1,unknown,no
32,technician,single,secondary,unknown,5,may,136,1,unknown,no
43,services,single,unknown,unknown,5,may,73,1,unknown,no
32,blue-collar,married,secondary,unknown,5,may,528,1,unknown,no
46,blue-collar,married,secondary,unknown,5,may,541,1,unknown,no
53,housemaid,divorced,primary,unknown,5,may,163,1,unknown,no
34,self-employed,single,secondary,unknown,5,may,301,1,unknown,no
57,unemployed,married,tertiary,unknown,5,may,46,1,unknown,no
37,blue-collar,married,secondary,unknown,5,may,204,1,unknown,no
59,blue-collar,married,secondary,unknown,5,may,98,1,unknown,no
33,services,married,secondary,unknown,5,may,71,1,unknown,no
56,blue-collar,divorced,primary,unknown,5,may,157,2,unknown,no
48,unemployed,married,secondary,unknown,5,may,243,1,unknown,no
43,services,married,primary,unknown,5,may,186,2,unknown,no
54,blue-collar,married,primary,unknown,5,may,579,2,unknown,no
51,blue-collar,married,unknown,unknown,5,may,163,2,unknown,no
26,student,single,secondary,unknown,5,may,610,2,unknown,no
40,management,married,tertiary,unknown,5,may,2033,1,unknown,no
39,management,married,secondary,unknown,5,may,85,1,unknown,no
50,technician,married,primary,unknown,5,may,114,2,unknown,no
41,services,married,secondary,unknown,5,may,114,2,unknown,no
51,blue-collar,married,unknown,unknown,5,may,57,1,unknown,no
60,retired,divorced,secondary,unknown,5,may,238,1,unknown,no
52,blue-collar,married,secondary,unknown,5,may,93,3,unknown,no
48,blue-collar,married,secondary,unknown,5,may,128,2,unknown,no
48,services,married,unknown,unknown,5,may,107,1,unknown,no
39,technician,single,tertiary,unknown,5,may,181,1,unknown,no
47,services,single,secondary,unknown,5,may,303,2,unknown,no
40,blue-collar,married,secondary,unknown,5,may,558,5,unknown,no
45,technician,married,secondary,unknown,5,may,270,1,unknown,no
26,admin.,single,secondary,unknown,5,may,228,1,unknown,no
52,management,married,tertiary,unknown,5,may,99,1,unknown,no
54,technician,married,secondary,unknown,5,may,240,1,unknown,no
54,admin.,married,tertiary,unknown,5,may,673,2,unknown,yes
50,blue-collar,married,primary,unknown,5,may,233,3,unknown,no
35,blue-collar,married,secondary,unknown,5,may,1056,1,unknown,no
44,services,married,secondary,unknown,5,may,250,1,unknown,no
53,entrepreneur,married,unknown,unknown,5,may,252,1,unknown,no
35,retired,single,primary,unknown,5,may,138,1,unknown,no
60,admin.,divorced,secondary,unknown,5,may,130,1,unknown,no
53,admin.,divorced,secondary,unknown,5,may,412,1,unknown,no
48,unemployed,married,secondary,unknown,5,may,179,2,unknown,no
34,technician,married,secondary,unknown,5,may,19,2,unknown,no
54,services,married,secondary,unknown,5,may,458,2,unknown,no
51,management,married,secondary,unknown,5,may,717,1,unknown,no
31,services,married,tertiary,unknown,5,may,313,1,unknown,no
35,technician,divorced,secondary,unknown,5,may,683,2,unknown,no
35,services,married,secondary,unknown,5,may,1077,1,unknown,no
38,technician,married,secondary,unknown,5,may,416,1,unknown,no
36,admin.,married,tertiary,unknown,5,may,146,2,unknown,no
58,retired,married,primary,unknown,5,may,167,1,unknown,no
40,services,divorced,unknown,unknown,5,may,315,1,unknown,no
54,management,married,secondary,unknown,5,may,140,1,unknown,no
34,blue-collar,single,secondary,unknown,5,may,346,1,unknown,no
31,management,single,tertiary,unknown,5,may,562,1,unknown,no
51,retired,married,secondary,unknown,5,may,172,1,unknown,no
33,management,married,tertiary,unknown,5,may,217,1,unknown,no
55,management,married,tertiary,unknown,5,may,142,2,unknown,no
42,admin.,married,secondary,unknown,5,may,67,1,unknown,no
34,blue-collar,married,secondary,unknown,5,may,291,1,unknown,no
33,blue-collar,single,secondary,unknown,5,may,309,2,unknown,no
38,services,married,secondary,unknown,5,may,248,1,unknown,no
50,technician,divorced,tertiary,unknown,5,may,98,1,unknown,no
43,management,married,tertiary,unknown,5,may,256,1,unknown,no
61,blue-collar,divorced,primary,unknown,5,may,82,2,unknown,no
47,admin.,married,secondary,unknown,5,may,577,1,unknown,no
48,self-employed,married,tertiary,unknown,5,may,286,1,unknown,no
44,blue-collar,married,secondary,unknown,5,may,477,1,unknown,no
35,student,single,unknown,unknown,5,may,611,2,unknown,no
35,services,married,secondary,unknown,5,may,471,1,unknown,no
50,services,married,secondary,unknown,5,may,381,2,unknown,no
41,management,married,tertiary,unknown,5,may,42,1,unknown,no
41,management,married,tertiary,unknown,5,may,251,1,unknown,no
39,services,single,unknown,unknown,5,may,408,1,unknown,no
42,retired,married,secondary,unknown,5,may,215,1,unknown,no
38,blue-collar,married,secondary,unknown,5,may,287,1,unknown,no
53,retired,married,secondary,unknown,5,may,216,2,unknown,no
59,housemaid,divorced,primary,unknown,5,may,366,2,unknown,no
36,services,married,secondary,unknown,5,may,210,1,unknown,no
54,blue-collar,married,primary,unknown,5,may,288,1,unknown,no
40,technician,married,tertiary,unknown,5,may,168,1,unknown,no
47,unknown,married,unknown,unknown,5,may,338,2,unknown,no
53,unemployed,married,unknown,unknown,5,may,410,3,unknown,no
46,housemaid,married,primary,unknown,5,may,177,1,unknown,no
39,management,married,tertiary,unknown,5,may,127,2,unknown,no
40,unemployed,married,secondary,unknown,5,may,357,1,unknown,no
28,blue-collar,married,primary,unknown,5,may,175,1,unknown,no
35,entrepreneur,divorced,secondary,unknown,5,may,300,1,unknown,no
55,retired,married,secondary,unknown,5,may,136,1,unknown,no
43,technician,divorced,unknown,unknown,5,may,1419,1,unknown,no
48,blue-collar,married,primary,unknown,5,may,125,2,unknown,no
58,management,married,unknown,unknown,5,may,213,3,unknown,no
33,management,single,tertiary,unknown,5,may,27,1,unknown,no
36,blue-collar,married,unknown,unknown,5,may,238,2,unknown,no
53,services,divorced,secondary,unknown,5,may,124,1,unknown,no
47,blue-collar,married,primary,unknown,5,may,18,1,unknown,no
31,services,married,secondary,unknown,5,may,730,2,unknown,no
57,entrepreneur,married,secondary,unknown,5,may,746,2,unknown,no
53,blue-collar,married,unknown,unknown,5,may,121,1,unknown,no
55,blue-collar,married,primary,unknown,5,may,247,1,unknown,no
45,blue-collar,married,primary,unknown,5,may,40,1,unknown,no
53,admin.,divorced,secondary,unknown,5,may,181,2,unknown,no
37,blue-collar,married,primary,unknown,5,may,79,1,unknown,no
44,admin.,divorced,secondary,unknown,5,may,206,1,unknown,no
49,blue-collar,divorced,primary,unknown,5,may,389,1,unknown,no
46,technician,married,secondary,unknown,5,may,127,1,unknown,no
43,entrepreneur,married,unknown,unknown,5,may,702,1,unknown,no
38,admin.,married,secondary,unknown,5,may,151,1,unknown,no
43,technician,married,secondary,unknown,5,may,117,1,unknown,no
49,management,married,tertiary,unknown,5,may,232,3,unknown,no
42,management,married,unknown,unknown,5,may,408,2,unknown,no
22,blue-collar,single,secondary,unknown,5,may,179,2,unknown,no
40,management,married,tertiary,unknown,5,may,39,1,unknown,no
39,blue-collar,married,secondary,unknown,5,may,282,1,unknown,no
51,services,married,secondary,unknown,5,may,714,2,unknown,no
49,admin.,married,secondary,unknown,5,may,50,1,unknown,no
53,blue-collar,married,secondary,unknown,5,may,181,1,unknown,no
34,services,single,secondary,unknown,5,may,142,1,unknown,no
33,technician,divorced,secondary,unknown,5,may,227,1,unknown,no
50,management,single,tertiary,unknown,5,may,119,1,unknown,no
39,blue-collar,married,primary,unknown,5,may,361,1,unknown,no
59,entrepreneur,divorced,secondary,unknown,5,may,73,3,unknown,no
30,technician,single,secondary,unknown,5,may,67,2,unknown,no
36,services,married,secondary,unknown,5,may,350,1,unknown,no
40,blue-collar,married,secondary,unknown,5,may,332,2,unknown,no
53,blue-collar,married,secondary,unknown,5,may,611,2,unknown,no
34,management,single,tertiary,unknown,5,may,113,2,unknown,no
37,technician,married,secondary,unknown,5,may,132,1,unknown,no
42,management,divorced,tertiary,unknown,5,may,58,3,unknown,no
41,entrepreneur,married,primary,unknown,5,may,151,1,unknown,no
30,student,single,tertiary,unknown,5,may,89,2,unknown,no
37,management,single,tertiary,unknown,5,may,152,1,unknown,no
39,admin.,divorced,secondary,unknown,5,may,611,2,unknown,no
41,blue-collar,married,primary,unknown,5,may,110,2,unknown,no
40,blue-collar,married,primary,unknown,5,may,463,1,unknown,no
42,management,single,tertiary,unknown,5,may,562,2,unknown,yes
40,blue-collar,divorced,primary,unknown,5,may,962,1,unknown,no
57,technician,married,secondary,unknown,5,may,10,4,unknown,no
56,entrepreneur,divorced,secondary,unknown,5,may,118,3,unknown,no
37,admin.,married,secondary,unknown,5,may,92,2,unknown,no
59,retired,married,secondary,unknown,5,may,143,3,unknown,no
39,services,divorced,secondary,unknown,5,may,189,3,unknown,no
49,services,married,secondary,unknown,5,may,234,2,unknown,no
38,services,single,secondary,unknown,5,may,75,2,unknown,no
36,self-employed,married,tertiary,unknown,5,may,189,2,unknown,no
50,blue-collar,married,primary,unknown,5,may,621,3,unknown,no
41,admin.,married,secondary,unknown,5,may,55,2,unknown,no
54,technician,married,tertiary,unknown,5,may,310,4,unknown,no
58,blue-collar,married,primary,unknown,5,may,156,2,unknown,no
30,blue-collar,single,secondary,unknown,5,may,5,2,unknown,no
33,admin.,single,secondary,unknown,5,may,225,2,unknown,no
47,admin.,married,secondary,unknown,5,may,125,2,unknown,no
50,technician,single,tertiary,unknown,5,may,2,3,unknown,no
32,blue-collar,married,secondary,unknown,5,may,286,2,unknown,no
40,self-employed,married,secondary,unknown,5,may,164,2,unknown,no
